var_name,discioline,parameterCategory,parameterNumber,varn,unit,level,long_name
NDNSW,0,4,192,4192,W/m^2,0,NETDOWNSURFACESWFLUX
SWDIR,0,4,198,4198,W/m^2,2,DIRECTSWFLUX(ONRHOLEVELS)
SWDIF,0,4,199,4199,W/m^2,2,DIFFUSESWFLUX(ONRHOLEVELS)
TDSWS,0,4,200,4200,W/m^2,0,TOTALDOWNWARDSURFACESWFLUX
NDNLW,0,5,192,5192,W/m^2,0,NETDOWNSURFACELWRADFLUX
OULWT,0,5,194,5194,W/m^2,0,OUTGOINGLWRADFLUX(TOA)
DLWS,0,5,196,5196,W/m^2,0,DOWNWARDLWRADFLUX;SURFACE
NCPCP,0,1,9,1009,kg/m^2,0,Large-ScalePrecipitation(non-convective)
SNOL,0,1,15,1015,kg/m^2,0,Large-ScaleSnow
LSPRATE,0,1,54,1054,kg/m^2/s,0,LargeScalePrecipitationRate
LSSRATE,0,1,59,1059,m/s,0,LargeScaleSnowfallRate
HPBLA,0,3,196,3196,m,0,BOUNDARY LAYER DEPTH AFTER BLAYER
HFSOIL,0,0,193,193,W/m^2,0,HEATFLUXFROMSURFTODEEPSOILLEV1
LLRIB,0,7,192,7192,-,2,LOWESTLAYERBULKRICHARDSONNumber
UGRD,0,2,2,2002,m/s,10,U-ComponentofWind
VGRD,0,2,3,2003,m/s,10,V-ComponentofWind
HFSFC,0,0,194,194,W/m^2,0,SURFACEHEATFLUX
XBLWS,0,2,194,2194,N/m^2,5,X-COMPOFSURF&BLWINDSTRESS
YBLWS,0,2,195,2195,N/m^2,5,Y-COMPOFSURF&BLWINDSTRESS
LHTFL,0,0,10,10,W/m^2,0,LatentHeatNetFlux
TMP,0,0,0,0,K,2,Temperature
TMIN,0,0,5,5,K,2,MinimumTemperature
TMAX,0,0,4,4,K,2,MaximumTemperature
SPFH,0,1,0,1000,kg/kg,2,SpecificHumidity
TOMFS,0,1,196,1196,kg/m^2/TS,0,TOTALSURFMOISTFLUXPERTIMESTEP
RH,0,1,1,1001,%,2,RelativeHumidity
VIS,0,19,0,19000,m,2,Visibility
FOGFR,0,19,193,19193,%,2,FOGFRACTIONAT1.5M
DPT,0,0,6,6,K,2,DewPointTemperature
PVIS5,0,19,194,19194,%,0,PROBABILITYOFVISLESSTHAN5KM
15TL,0,0,198,198,-,2,TLAT1.5M
15QL,0,1,193,1193,-,2,QTAT1.5M
VISIP,0,19,192,19192,m,2,VISIBILITY_AT_1.5M(INCL.PRECIP)
SHFLT,0,0,199,199,W/m^2,1,SURFACESENSIBLEHEATFLUXONTILES
SHFLT,0,0,199,199,W/m^2,2,SURFACESENSIBLEHEATFLUXONTILES
SHFLT,0,0,199,199,W/m^2,3,SURFACESENSIBLEHEATFLUXONTILES
SHFLT,0,0,199,199,W/m^2,4,SURFACESENSIBLEHEATFLUXONTILES
SHFLT,0,0,199,199,W/m^2,5,SURFACESENSIBLEHEATFLUXONTILES
SHFLT,0,0,199,199,W/m^2,6,SURFACESENSIBLEHEATFLUXONTILES
SHFLT,0,0,199,199,W/m^2,7,SURFACESENSIBLEHEATFLUXONTILES
SHFLT,0,0,199,199,W/m^2,8,SURFACESENSIBLEHEATFLUXONTILES
SHFLT,0,0,199,199,W/m^2,9,SURFACESENSIBLEHEATFLUXONTILES
HTBM,0,19,195,19195,m,0,TURBULENT_MIXING_HT_AFTER_B.LAYER
SCST,0,6,196,6196,%,0,STRATOCUM.OVERSTABLEBLINDICATOR
DSCNC,0,6,197,6197,%,0,DECOUPLEDSC.NOTOVER_CU.INDICATOR
DSCOC,0,6,198,6198,%,0,DECOUPLEDSC.OVERCU.INDICATOR
NETTL,0,5,198,5198,W/m^2,1,SURFACENETRADIATIONONTILES
NETTL,0,5,198,5198,W/m^2,2,SURFACENETRADIATIONONTILES
NETTL,0,5,198,5198,W/m^2,3,SURFACENETRADIATIONONTILES
NETTL,0,5,198,5198,W/m^2,4,SURFACENETRADIATIONONTILES
NETTL,0,5,198,5198,W/m^2,5,SURFACENETRADIATIONONTILES
NETTL,0,5,198,5198,W/m^2,6,SURFACENETRADIATIONONTILES
NETTL,0,5,198,5198,W/m^2,7,SURFACENETRADIATIONONTILES
NETTL,0,5,198,5198,W/m^2,8,SURFACENETRADIATIONONTILES
NETTL,0,5,198,5198,W/m^2,9,SURFACENETRADIATIONONTILES
STOT,0,0,201,201,K,1,SURFACETEMPONTILES
STOT,0,0,201,201,K,2,SURFACETEMPONTILES
STOT,0,0,201,201,K,3,SURFACETEMPONTILES
STOT,0,0,201,201,K,4,SURFACETEMPONTILES
STOT,0,0,201,201,K,5,SURFACETEMPONTILES
STOT,0,0,201,201,K,6,SURFACETEMPONTILES
STOT,0,0,201,201,K,7,SURFACETEMPONTILES
STOT,0,0,201,201,K,8,SURFACETEMPONTILES
STOT,0,0,201,201,K,9,SURFACETEMPONTILES
HCNP,2,0,195,200195,m,1,CANOPYHEIGHTONPFTS
HCNP,2,0,195,200195,m,2,CANOPYHEIGHTONPFTS
HCNP,2,0,195,200195,m,3,CANOPYHEIGHTONPFTS
HCNP,2,0,195,200195,m,4,CANOPYHEIGHTONPFTS
HCNP,2,0,195,200195,m,5,CANOPYHEIGHTONPFTS
WCNP,2,0,196,200196,Kg/m^2,1,CANOPYWATERONPFTS
WCNP,2,0,196,200196,Kg/m^2,2,CANOPYWATERONPFTS
WCNP,2,0,196,200196,Kg/m^2,3,CANOPYWATERONPFTS
WCNP,2,0,196,200196,Kg/m^2,4,CANOPYWATERONPFTS
WCNP,2,0,196,200196,Kg/m^2,5,CANOPYWATERONPFTS
T15T,2,0,197,200197,K,1,TEMPERATUREAT1.5MOVERTILES
T15T,2,0,197,200197,K,2,TEMPERATUREAT1.5MOVERTILES
T15T,2,0,197,200197,K,3,TEMPERATUREAT1.5MOVERTILES
T15T,2,0,197,200197,K,4,TEMPERATUREAT1.5MOVERTILES
T15T,2,0,197,200197,K,5,TEMPERATUREAT1.5MOVERTILES
T15T,2,0,197,200197,K,6,TEMPERATUREAT1.5MOVERTILES
T15T,2,0,197,200197,K,7,TEMPERATUREAT1.5MOVERTILES
T15T,2,0,197,200197,K,8,TEMPERATUREAT1.5MOVERTILES
T15T,2,0,197,200197,K,9,TEMPERATUREAT1.5MOVERTILES
SH15,2,0,198,200198,kg/kg,1,SPECIFICHUMIDITYAT1.5MOVERTILES
SH15,2,0,198,200198,kg/kg,2,SPECIFICHUMIDITYAT1.5MOVERTILES
SH15,2,0,198,200198,kg/kg,3,SPECIFICHUMIDITYAT1.5MOVERTILES
SH15,2,0,198,200198,kg/kg,4,SPECIFICHUMIDITYAT1.5MOVERTILES
SH15,2,0,198,200198,kg/kg,5,SPECIFICHUMIDITYAT1.5MOVERTILES
SH15,2,0,198,200198,kg/kg,6,SPECIFICHUMIDITYAT1.5MOVERTILES
SH15,2,0,198,200198,kg/kg,7,SPECIFICHUMIDITYAT1.5MOVERTILES
SH15,2,0,198,200198,kg/kg,8,SPECIFICHUMIDITYAT1.5MOVERTILES
SH15,2,0,198,200198,kg/kg,9,SPECIFICHUMIDITYAT1.5MOVERTILES
HDLB,0,6,199,6199,m,0,HEIGHTOFDECOUPLEDLAYERBASE
STCP,2,0,199,200199,W/m^2,1,STOMATALCONDUCTANCEONPFTS
STCP,2,0,199,200199,W/m^2,2,STOMATALCONDUCTANCEONPFTS
STCP,2,0,199,200199,W/m^2,3,STOMATALCONDUCTANCEONPFTS
STCP,2,0,199,200199,W/m^2,4,STOMATALCONDUCTANCEONPFTS
STCP,2,0,199,200199,W/m^2,5,STOMATALCONDUCTANCEONPFTS
MAXGUST,0,2,21,2021,m/s,0,MaximumWindSpeed
